trackId,albumId,trackName
654,58,All Day Sucker
655,58,Easy Goin' Evening (My Mama's Call)
656,59,Blackened
657,59,...And Justice For All
658,59,Eye Of The Beholder
659,59,One
660,59,The Shortest Straw
661,59,Harvester Of Sorrow
662,59,The Frayed Ends Of Sanity
663,59,To Live Is To Die
664,59,Dyers Eve
665,60,Aqualung
666,60,Aqualung
667,60,Cross-Eyed Mary
668,60,Cheap Day Return
669,60,Mother Goose
670,60,Wond'ring Aloud
671,60,Up To Me
672,60,My God
673,60,My God
674,60,Hymn 43
675,60,Slipstream
676,60,Locomotive Breath
677,60,Wind-Up
678,61,In The Evening
679,61,South Bound Saurez
680,61,Fool In The Rain
681,61,Hot Dog
682,61,Carouselambra
683,61,All My Love
684,61,I'm Gonna Crawl
685,62,Hit The Lights
686,62,The Four Horsemen
687,62,Motorbreath
688,62,Jump In The Fire
689,62,(Anesthesia)-Pulling Teeth
690,62,Whiplash
691,62,Phantom Lord
692,62,No Remorse
693,62,Seek & Destroy
694,62,Metal Militia
695,63,Changes
696,63,Oh! You Pretty Things
697,63,Eight Line Poem
698,63,Life On Mars?
699,63,Kooks
700,63,Quicksand
701,63,Fill Your Heart
702,63,Andy Warhol
703,63,Song For Bob Dylan
704,63,Queen Bitch
705,63,The Bewlay Brothers
706,64,Atom Heart Mother
707,64,If
708,64,Summer '68
709,64,Fat Old Sun
710,64,Alan's Psychedelic Breakfast
711,65,Don't Stop 'Til You Get Enough
712,65,Rock With You
713,65,Working Day And Night
714,65,Get On The Floor
715,65,Off The Wall
716,65,Girlfriend
717,65,She's Out Of My Life
718,65,I Can't Help It
719,65,It's The Falling In Love
720,65,Burn This Disco Out
721,66,Sweet Leaf
722,66,After Forever
723,66,Embryo
724,66,Children Of The Grave
725,66,Orchid
726,66,Lord Of This World
727,66,Solitude
728,66,Into The Void
729,67,Bat Out Of Hell
730,67,You Took The Words Right Out Of My Mouth (Hot Summer Night)
731,67,Heaven Can Wait
732,67,All Revved Up With No Place To Go
733,67,Two Out Of Three Ain't Bad
734,67,Paradise By The Dash Board Light
735,67,For Crying Out Loud
736,68,Thunder Road
737,68,Tenth Avenue Freeze Out
738,68,Night
739,68,Backstreets
740,68,Born To Run
741,68,She's The One
742,68,Meeting Across The River
743,68,Jungleland
744,69,Funeral For A Friend
745,69,Love Lies Bleeding
746,69,Candle In The Wind
747,69,Bennie And The Jets
748,69,Goodbye Yellow Brick Road
749,69,This Song Has No Title
750,69,Grey Seal
751,69,Jamaica Jerk-Off
752,69,I've Seen That Movie Too
753,69,Sweet Painted Lady
754,69,The Ballad Of Danny Bailey (1909-34)
755,69,Dirty Little Girl
756,69,All The Girls Love Alice
757,69,Your Sister Can't Twist (But She Can Rock 'n Roll)
758,69,Saturday Night's Alright For Fighting
759,69,Roy Rogers
760,69,Social Disease
761,69,Harmony
762,70,Highway Star
763,70,Maybe I'm A Leo
764,70,Pictures Of Home
765,70,Never Before
766,70,Smoke On The Water
767,70,Lazy
768,70,Space Truckin'
769,71,Telegraph Road
770,71,Private Investigations
771,71,Industrial Disease
772,71,Love Over Gold
773,71,It Never Rains
774,72,Rocks Off
775,72,Rip This Joint
776,72,Shake Your Hips
777,72,Casino Boogie
778,72,Tumbling Dice
779,72,Sweet Virginia
780,72,Torn And Frayed
